question_id,type_id,format,asset_src,sha256,source_name,question_vi
src-pnl12ch1-visual-b1-c02,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image224.png,10e9d015acb38418db489ebb2cd29e9748d9c0e553698fd7aa2643d398cfd397,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $f(x)$ có bảng xét dấu của đạo hàm như hình dưới đây. Hàm số đã cho nghịch biến trên khoảng nào?
src-pnl12ch1-visual-b1-c03,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image231.png,82aadd1c130ec888b213104ef599fdbb7791d1397a601929d73cd9d6f7686c19,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=f(x)$ có đồ thị là đường cong trong hình dưới đây. Hàm số đã cho nghịch biến trên khoảng nào?
src-pnl12ch1-visual-b1-c05,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image246.png,76ae2b61566b566957df35260fbc2374ae175683b15afc107879ef6912a73c67,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=f(x)=ax^3+bx^2+cx+d$ có đồ thị như hình dưới đây. Hàm số $y=f(x)$ đồng biến trên khoảng nào?
src-pnl12ch1-visual-b1-c12,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image310.png,509b2f95098225f2b7aa5c1e1e52f09b465183ff0fc6fd6468365aad0cf97698,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=f(x)$ có bảng xét dấu đạo hàm như hình dưới đây. Mệnh đề nào đúng?
src-pnl12ch1-visual-b1-c14,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image329.png,ee255ed94452a67f53f78eaf5aaff0ab88503e45b53be5ef51139a41dc735436,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=f(x)$ có bảng xét dấu của đạo hàm $f'(x)$ như hình dưới đây. Hàm số $y=f(x)$ đồng biến trên khoảng nào?
src-pnl12ch1-visual-b1-c35,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image533.png,01357dfb70cfde57a2bb14ab0f3375da4a2a89a0eefdff143552c3004e85252a,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=f(x)$ có bảng xét dấu của đạo hàm như hình bên. Số điểm cực tiểu của hàm số $y=f(x)$ là bao nhiêu?
src-pnl12ch1-visual-b1-c36,type-kntt-12-01-03,TN,/question-assets/source/pnl-12-ch1-b1d1/image538.png,80516feb9b8a14e88a5b818a9cec4b304db0824ec29381e10562799db4adb89d,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $f(x)=ax^4+bx^3+cx^2+dx+e$. Hàm số $y=f'(x)$ có đồ thị như hình dưới đây. Đồ thị hàm số $y=f(x)$ có tất cả bao nhiêu điểm cực trị?
src-pnl12ch1-visual-b1-short-c06,type-kntt-12-01-03,TLN,/question-assets/source/pnl-12-ch1-b1d1/image750.png,e311c8ebf4a6c0752c9095db30fcd3ee9950f9a94c83cdbead646e0647c3ac76,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $f(x)$ liên tục trên $\mathbb{R}$ và có bảng xét dấu $f'(x)$ như hình dưới đây. Hàm số có bao nhiêu điểm cực trị?
src-pnl12ch1-visual-b4-de04-c01,type-kntt-12-04-01,TN,/question-assets/source/pnl-12-ch1-de04-b4/image1.png,7f7e387e0e499910b2897bd2d50d67817c49d23397b3aa634a5ffd17e45133b4,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Bảng biến thiên dưới đây là của hàm số nào?
src-pnl12ch1-visual-b4-de04-c02,type-kntt-12-04-02,TN,/question-assets/source/pnl-12-ch1-de04-b4/image9.png,b37b1a5286d2e1e5aa43d0797876fefa5f18ec119acb623c5624cd1927cf2f15,Phan Nhật Linh - Chương 1 lớp 12 (bản GV),Cho hàm số $y=\dfrac{ax+b}{cx-1}$ có đồ thị như hình dưới đây. Tính $S=a+b+c$.
